ts,frame,status,drowsy,yawn,left,right,up,down,blocked,sleep_s,ear,mar,yaw,pitch,fps,bright
18:53:21,1,NORMAL E:0.00,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,2,21
18:53:21,2,NORMAL E:0.00,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,9,21
18:53:21,3,NORMAL E:0.00,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,10,21
18:53:22,4,NORMAL E:0.00,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,10,21
18:53:22,5,NORMAL E:0.00,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,11,21
18:53:22,6,NORMAL E:0.00,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,11,21
18:53:22,7,NORMAL E:0.00,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,10,21
18:53:22,8,NORMAL E:0.00,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,7,21
18:53:22,9,NORMAL E:0.00,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,8,21
18:53:22,10,NORMAL E:0.31,False,False,False,False,False,False,False,0,0.309,8.872,3.6,-16.04,7,22
18:53:22,11,NORMAL E:0.33,False,False,False,False,False,False,False,0,0.327,57.172,1.66,-17.16,8,22
18:53:23,12,NORMAL E:0.26,False,False,False,False,False,False,False,0,0.255,15.66,2.12,-17.37,8,23
18:53:23,13,NORMAL E:0.25,False,False,False,False,False,False,False,0,0.253,21.882,1.4,-18.04,8,23
18:53:23,14,DROWSY(0.24),True,False,False,False,False,False,False,0,0.235,61.739,3.56,-17.18,8,22
18:53:23,15,NORMAL E:0.26,False,False,False,False,False,False,False,0,0.258,57.809,3.57,-17.95,6,22
18:53:23,16,NORMAL E:0.31,False,False,False,False,False,False,False,0,0.309,57.223,1.79,-17.28,7,22
18:53:23,17,DROWSY(0.25),True,False,False,False,False,False,False,0,0.248,19.295,3.84,-18.13,7,22
18:53:23,18,NORMAL E:0.26,False,False,False,False,False,False,False,0,0.262,39.679,1.4,-17.55,8,22
18:53:23,19,NORMAL E:0.28,False,False,False,False,False,False,False,0,0.276,59.176,-0.47,-18.32,8,22
18:53:24,20,NORMAL E:0.32,False,False,False,False,False,False,False,0,0.318,58.841,0.2,-18.09,8,22
18:53:24,21,NORMAL E:0.32,False,False,False,False,False,False,False,0,0.315,59.789,1.16,-18.22,8,22
18:53:24,22,NORMAL E:0.31,False,False,False,False,False,False,False,0,0.311,41.503,-0.84,-18.5,6,22
18:53:24,23,DROWSY(0.18),True,False,False,False,False,False,False,0,0.184,59.114,-1.09,-19.06,7,22
18:53:24,24,DROWSY(0.23),True,False,False,False,False,False,False,0,0.233,62.234,-2.12,-18.12,8,22
18:53:24,25,DROWSY(0.23),True,False,False,False,False,False,False,0,0.235,12.568,-4.65,-19.43,8,22
18:53:24,26,DROWSY(0.25),True,False,False,False,False,False,False,0,0.249,6.974,-3.53,-18.15,8,22
18:53:25,27,DROWSY(0.23),True,False,False,False,False,False,False,0,0.234,4.459,-3.46,-19.42,8,22
18:53:25,28,DROWSY(0.20),True,False,False,False,False,False,False,0,0.198,4.008,-4.46,-19.64,5,22
18:53:25,29,DROWSY(0.24),True,False,False,False,False,False,False,0,0.242,7.045,-2.34,-18.52,6,22
18:53:25,30,NORMAL E:0.28,False,False,False,False,False,False,False,0,0.285,56.9,-2.96,-17.75,7,21
18:53:25,31,NORMAL E:0.28,False,False,False,False,False,False,False,0,0.282,57.54,-4.03,-18.02,8,21
18:53:25,32,NORMAL E:0.27,False,False,False,False,False,False,False,0,0.269,58.552,-8.61,-17.95,8,21
18:53:25,33,NORMAL E:0.26,False,False,False,False,False,False,False,0,0.256,53.607,-9.07,-16.61,8,21
